SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
1,"AALAMDEVI BAHUPRABIDHIK SHIKSHYALAYA, MIRMI, SYANGJA",Partnership,Civil Engineering,-48,13,,,
2,"AANDHIKHOLA POLYTECHNIC INSTITUTE, SYANGJA",Constituated,Information Technology,-48,11,,,
3,"ANNAPURNA POLYTECHNIC INSTITUTE, DHIKURPOKHARI, KASKI",Constituated,Agriculture (Animal Science) (Semester),-40,14,,,
,,,Agriculture (Plant Science)(Semester),-40,18,,,
,,,Agriculture (Plant Science)(Special),-15,12,,,
4,"BANDIPUR TECHNICAL INSTITUTE, BANDIPUR, TANAHUN",Private,General Medicine,-40,24,,,
5,"BARPAK POLYTECHNIC INSTITUTE, SAURPANI, GORKHA",Constituated,Agriculture (Animal Science) (Semester),-40,23,,,
,,,Agriculture (Animal Science)(Special),-13,12,,,
,,,Agriculture (Plant Science)(Semester),-40,12,,,
6,"CHARAK INSTITUTE OF HEALTH SCIENCE, POKHARA, KASKI",Private,General Medicine,-40,40,,,
,,,Nursing,-40,40,,,
,,,Pharmacy,-40,40,,,
7,"DHAULAGIRI DEAF RESIDENTIAL SCHOOL, BAGLUNG",TECS,Computer Engineering,-40,28,,,
8,"DHAULAGIRI PRABIDHIK SHIKSHYA PRATISTHAN, BAGLUNG",Private,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,7,,,
,,,Pharmacy,-40,40,,,
9,"DHAULAGIRI  POLYTECHNIC INSTITUTE, BALEWA, BAGLUNG",Constituated,Agriculture (Animal Science) (Semester),-40,14,,,
,,,Agriculture (Animal Science)(Special),-13,10,,,
10,"DHAWALAGIRI TECHNICAL SCHOOL, LETE, MUSTANG",Constituated,Hotel Management,-40,25,,,
,,,Hotel Management (Special),-15,8,,,
11,"FEWACITY INSTITUTE OF MEDICAL SCIENCE, POKHARA, KASKI",Private,Nursing,-40,40,,,
12,"FISHTAIL NURSING CAMPUS, POKHARA, KASKI",Private,Nursing,-40,40,,,
13,"GANDAKI POLYTECHNIC INSTITUTE, POKHARA, KASKI",Partnership,Civil Engineering,-48,10,,,
,,,General Medicine,-40,35,,,
,,,Pharmacy,-40,40,,,
14,"GANDAKI TECHNICAL INSTITUTE, POKHARA, KASKI",Private,Beauty and Cosmetology,-40,23,,,
,,,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,29,,,
,,,Pharmacy,-40,40,,,
15,"GANDAKI TECHNICAL TRAINING CENTER, DAMAULI, TANAHUN",Private,General Medicine,-40,36,,,
16,"GORKHA POLYTECHNIC INSTITUTE, PALUNGTAR , GORKHA",Constituated,Civil Engineering,-48,7,,,
17,"GORKHA TECHNICAL TRAINING CENTER, GORKHA",Private,General Medicine,-40,28,,,
18,"HUPSEKOT TECHNICAL SCHOOL, JHYALBAS, NAWALPARASI (EAST)",Partnership,Agriculture (Animal Science) (Semester),-40,29,,,
19,"JANATA SECONDARY SCHOOL, MAGARKOT, NAWALPARASI (EAST)",TECS,Civil Engineering,-48,27,,,
20,"KALIGANDAKI POLYTECHNIC INSTITUTE, PUTTAR, TANAHUN",Constituated,Forestry,-40,13,,,
,,,Pharmacy,-40,39,,,
21,"KALIGANDAKI TECHNICAL SCHOOL, KAWASOTI, NAWALPARASI (EAST)",Private,Diagnostic Radiography,-30,17,,,
,,,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,20,,,
22,"KALIKA MEDICAL AND TECHNICAL INSTITUTE, GAINDAKOT, NAWALPARASI (EAST)",Private,Diagnostic Radiography,-30,30,,,
,,,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,30,,,
,,,Nursing,-40,40,,,
,,,Pharmacy,-40,40,,,
,,,Physiotherapy,-40,40,,,
