SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
1,"AALAMDEVI BAHUPRABIDHIK SHIKSHYALAYA, MIRMI, SYANGJA",Partnership,Civil Engineering,-48,12,,,
2,"AANDHIKHOLA POLYTECHNIC INSTITUTE, SYANGJA",Constituated,Information Technology,-48,10,,,
3,"ANNAPURNA POLYTECHNIC INSTITUTE, DHIKURPOKHARI, KASKI",Constituated,Agriculture (Animal Science) (Semester),-40,11,,,
,,,Agriculture (Plant Science)(Semester),-40,5,,,
4,"BANDIPUR TECHNICAL INSTITUTE, BANDIPUR, TANAHUN",Private,General Medicine,-40,40,,,
5,"BARAHA SECONDARY SCHOOL, BHINDABARI, KASKI",TECS,Agriculture (Animal Science) (Semester),-40,22,,,
6,"BARPAK POLYTECHNIC INSTITUTE, SAURPANI, GORKHA",Constituated,Agriculture (Animal Science) (Semester),-40,36,,,
,,,Agriculture (Plant Science)(Semester),-40,30,,,
7,"BHAKTI NAMUNA SECONDARY SCHOOL, BHOTEWODAR, LAMJUNG",TECS,Civil Engineering,-48,6,,,
8,"CHANDRA JYOTI SECONDARY SCHOOL, TANAHUN",TECS,Civil Engineering,-48,1,,,
9,"CHARAK INSTITUTE OF HEALTH SCIENCE, POKHARA, KASKI",Private,General Medicine,-40,40,,,
,,,Nursing,-40,40,,,
,,,Pharmacy,-40,40,,,
10,"DHAULAGIRI DEAF RESIDENTIAL SCHOOL, BAGLUNG",TECS,Computer Engineering,-48,37,,,
11,"DHAULAGIRI PRABIDHIK SHIKSHYA PRATISTHAN, BAGLUNG",Private,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,13,,,
,,,Pharmacy,-40,29,,,
12,"DHAULAGIRI  POLYTECHNIC INSTITUTE, BALEWA, BAGLUNG",Constituated,Agriculture (Animal Science) (Semester),-40,12,,,
,,,Agriculture (Plant Science)(Semester),-40,6,,,
13,"DHAWALAGIRI TECHNICAL SCHOOL, LETE, MUSTANG",Constituated,Hotel Management,-40,21,,,
,,,Hotel Management (Special),-10,5,,,
14,"FEWACITY INSTITUTE OF MEDICAL SCIENCE, POKHARA, KASKI",Private,Nursing,-40,40,,,
15,"FISHTAIL NURSING CAMPUS, POKHARA, KASKI",Private,Nursing,-40,40,,,
