SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
1,"AALAMDEVI BAHUPRABIDHIK SHIKSHYALAYA, MIRMI, SYANGJA",Partnership,Civil Engineering,-48,12,,,
2,"AANDHIKHOLA POLYTECHNIC INSTITUTE, SYANGJA",Constituated,Civil Engineering,-48,13,,,
,,,Information Technology,-48,18,,,
3,"ADARSHA BAL SECONDARY SCHOOL, SUNDARBAZAR, LAMJUNG",TECS,Agriculture (Plant Science)(Semester),-40,5,,,
4,"ANNAPURNA POLYTECHNIC INSTITUTE, DHIKURPOKHARI, KASKI",Constituated,Agriculture (Animal Science) (Semester),-40,11,,,
,,,Agriculture (Plant Science)(Semester),-40,6,,,
5,"BANDIPUR TECHNICAL INSTITUTE, BANDIPUR, TANAHUN",Private,General Medicine,-40,33,,,
6,"BARAHA SECONDARY SCHOOL, BHINDABARI, KASKI",TECS,Agriculture (Animal Science) (Semester),-40,15,,,
7,"BARCHULI SECONDARY SCHOOL, DEVCHULI, NAWALPARASI (EAST)",TECS,Agriculture (Animal Science) (Semester),-40,26,,,
8,"BARPAK POLYTECHNIC INSTITUTE, SAURPANI, GORKHA",Constituated,Agriculture (Animal Science) (Semester),-40,37,,,
,,,Agriculture (Plant Science)(Semester),-40,35,,,
9,"BHAKTI NAMUNA SECONDARY SCHOOL, BHOTEWODAR, LAMJUNG",TECS,Civil Engineering,-48,26,,,
10,"BISHWA SHANTI SECONDARY SCHOOL, RUPA, KASKI",TECS,Civil Engineering,-48,9,,,
11,"CHANDRA JYOTI SECONDARY SCHOOL, TANAHUN",TECS,Civil Engineering,-48,5,,,
12,"CHARAK INSTITUTE OF HEALTH SCIENCE, POKHARA, KASKI",Private,General Medicine,-40,40,,,
,,,Nursing,-40,40,,,
,,,Pharmacy,-40,40,,,
13,"DHAULAGIRI DEAF RESIDENTIAL SCHOOL, BAGLUNG",TECS,Computer Engineering,-48,32,,,
14,"DHAULAGIRI PRABIDHIK SHIKSHYA PRATISTHAN, BAGLUNG",Private,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,9,,,
15,"DHAULAGIRI  POLYTECHNIC INSTITUTE, BALEWA, BAGLUNG",Constituated,Agriculture (Animal Science) (Semester),-40,11,,,
,,,Agriculture (Plant Science)(Semester),-40,11,,,
16,"DHAWALAGIRI TECHNICAL SCHOOL, LETE, MUSTANG",Constituated,Hotel Management,-40,27,,,
17,"FEWACITY INSTITUTE OF MEDICAL SCIENCE, POKHARA, KASKI",Private,Nursing,-40,40,,,
18,"FISHTAIL NURSING CAMPUS, POKHARA, KASKI",Private,Nursing,-40,40,,,
19,"GANDAKI POLYTECHNIC INSTITUTE, POKHARA, KASKI",Partnership,Automobile Engineering,-48,21,,,
,,,Civil Engineering,-48,28,,,
,,,Pharmacy,-40,40,,,
20,"GANDAKI TECHNICAL INSTITUTE, POKHARA, KASKI",Private,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,30,,,
21,"GANDAKI TECHNICAL TRAINING CENTER, DAMAULI, TANAHUN",Private,General Medicine,-40,40,,,
