SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
1,"ANANDAJYOTI SECONDARY SCHOOL, BEGNAS, KASKI",TECS,,,,Agriculture/Plant Science,-40,34
2,"BARAHA SECONDARY SCHOOL, BHINDABARI, KASKI",TECS,,,,Livestock Production/Animal Health,-40,20
3,"BARCHULI SECONDARY SCHOOL, DEVCHULI, NAWALPARASI (EAST)",TECS,,,,Livestock Production/Animal Health,-40,22
4,"BHAGABATI HIMALAYA SECONDARY SCHOOL, BATASHE, GORKHA",TECS,,,,Automobile Engineering,-40,21
5,"BHAGYODAYA SECONDARY SCHOOL, UJELIDANDA, SYANGJA",TECS,,,,Agriculture/Plant Science,-40,28
6,"BHAIRAWASHRAM SECONDARY SCHOOL, PHUJEL, GORKHA",TECS,,,,Computer Engineering,-40,24
7,"BHURUNG CHAUKI SECONDARY SCHOOL, BIRUWA, SYANGJA",TECS,,,,Civil Engineering,-40,24
8,"BIRENDRA SECONDARY SCHOOL, BALAM JAIPATE, SYANGJA",TECS,,,,Electrical Engineering,-40,37
9,"BIRENDRA SECONDARY SCHOOL, PAKUWA, PARBAT",TECS,,,,Agriculture/Plant Science,-40,32
10,"DHAWALAGIRI TECHNICAL SCHOOL, LETE, MUSTANG",Constituated,,,,Culinary Arts,-30,10
,,,,,,Hotel Management (Apprenticeship Model),-20,20
,,,,,,Livestock Production/Animal Health,-40,13
11,"GANDAKI POLYTECHNIC INSTITUTE, POKHARA, KASKI",Partnership,,,,Civil Engineering Building Construction (Apprenticeship Model),-20,19
12,"GORKHA POLYTECHNIC INSTITUTE, PALUNGTAR , GORKHA",Constituated,,,,Civil Engineering Building Construction (Apprenticeship Model),-20,20
,,,,,,Electrical Engineering (Apprenticeship Model),-20,13
13,"JANA JYOTI SECONDARY SCHOOL, BAGLUNGPANI, LAMJUNG",TECS,,,,Agriculture/Plant Science,-40,6
14,"JANAGANPATI SECONDARY SCHOOL, MYAGDE, TANAHUN",TECS,,,,Livestock Production/Animal Health,-40,24
15,"KISANI SECONDARY SCHOOL, MYAGDI",TECS,,,,Agriculture/Plant Science,-40,27
16,"MAHENDRA JYOTI SECONDARY SCHOOL, LUNKHU, PARBAT",TECS,,,,Agriculture/Plant Science,-40,23
17,"NEPAL TARA SECONDARY SCHOOL, RANIPANI, PARBAT",TECS,,,,Agriculture/Plant Science,-40,21
18,"NEPALI SENA VOCATIONAL AGRICULTURE AND ANIMAL TRAINING CENTER, LAMJUNG",Private,,,,Agriculture/Plant Science,-40,30
,,,,,,Livestock Production/Animal Health,-40,39
19,"NIRMAL SECONDARY SCHOOL, BHADGAUN, TANAHUN",TECS,,,,Civil Engineering Building Construction (Apprenticeship Model),-40,40
20,"PASCHIMANCHAL PRABIDHIK SHIKSHALAY, SHUKLAGANDAKI, TANAHUN",Private,,,,Social Mobilization,-40,11
21,"POKHARA ENGINEERING COLLEGE, POKHARA, KASKI",Private,,,,Civil Engineering,-40,14
22,"POKHARA TECHNICAL SCHOOL, PHULBARI , KASKI",Constituated,,,,Automobile Engineering (Apprenticeship Model),-30,26
,,,,,,Hotel Management,-40,23
,,,,,,Hotel Management (Apprenticeship Model),-40,40
23,"PRADYUMNA PANERU SECONDARY SCHOOL, RANGETHANTI, SYANGJA",TECS,,,,Agriculture/Plant Science,-40,20
24,"RANABIR JANAHIT SECONDARY SCHOOL, WALING, SYANGJA",TECS,,,,Electrical Engineering,-40,28
,,,,,,Electrical Engineering (Apprenticeship Model),-20,19
25,"RURAL TRAINING CENTRE, SIMPANI, LAMJUNG",Constituated,,,,Agriculture/Plant Science,-40,16
26,"SARBODAYA SECONDARY SCHOOL, LAMJUNG",TECS,,,,Computer Engineering,-40,30
27,"SHIVA SARASWOTI SECONDARY SCHOOL, RISHING, TANAHUN",TECS,,,,Livestock Production/Animal Health,-40,29
28,"SHIVA SECONDARY SCHOOL, ATRAULITAR, NAWALPARASI (EAST)",TECS,,,,Civil Engineering,-40,35
,,,,,,Civil Engineering Building Construction (Apprenticeship Model),-40,40
29,"TANGLICHOK SECONDARY SCHOOL, PATISWARA, GORKHA",TECS,,,,Agriculture/Plant Science,-40,28
30,"TRIBHUVAN SECONDARY SCHOOL, PAIYUNPATA, BAGLUNG",TECS,,,,Agriculture/Plant Science,-40,21
31,"YETI TECHNICAL EDUCATION AND MULTIPLE COLLEGE, LAXMIBAZAR, GORKHA",Private,,,,Survey Engineering,-40,9
,,,,,,Veterinary Science,-40,1
Total,,,,,0,,,937
Grand Total,,,,,0,,,937
