Name of Institute,Approved_2081,Diploma/PCL Program,Quota,Approved_2080
"Aalamdevi Bahuprabidhik Shikshyalaya, Mirmi",12.0,Civil Engineering,48.0,11.0
Aandhikhola Polytechnic Institute,,Civil Engineering,48.0,13.0
Aandhikhola Polytechnic Institute,10.0,Information Technology,48.0,18.0
"Adarsha Bal Secondary School, Sundarbazar",,Agriculture (Plant Science)(Semester),40.0,5.0
"Annapurna Polytechnic Institute, Dhikurpokhari",11.0,Agriculture (Animal Science) (Semester),40.0,11.0
"Annapurna Polytechnic Institute, Dhikurpokhari",5.0,Agriculture (Plant Science)(Semester),40.0,6.0
"Bandipur Technical Institute, Bandipur",39.0,General Medicine,40.0,23.0
"Baraha Secondary School, Bhindabari",20.0,Agriculture (Animal Science) (Semester),40.0,15.0
"Barchuli Secondary School, Devchuli",,Agriculture (Animal Science) (Semester),40.0,25.0
"Barpak Polytechnic Institute, Saurpani",36.0,Agriculture (Animal Science) (Semester),40.0,36.0
"Barpak Polytechnic Institute, Saurpani",29.0,Agriculture (Plant Science)(Semester),40.0,35.0
"Bhakti Namuna Secondary School, Bhotewodar",4.0,Civil Engineering,48.0,26.0
"Bishwa Shanti Secondary School, Rupa",,Civil Engineering,48.0,7.0
Chandra Jyoti Secondary School,1.0,Civil Engineering,48.0,5.0
"Charak Institute of Health Science, Pokhara",40.0,General Medicine,40.0,40.0
"Charak Institute of Health Science, Pokhara",40.0,Nursing,40.0,40.0
"Charak Institute of Health Science, Pokhara",40.0,Pharmacy,40.0,40.0
Dhaulagiri Deaf Residential School,36.0,Computer Engineering,48.0,32.0
Dhaulagiri Prabidhik Shikshya Pratisthan,40.0,General Medicine,40.0,40.0
Dhaulagiri Prabidhik Shikshya Pratisthan,13.0,Medical Laboratory Technology,30.0,9.0
Dhaulagiri Prabidhik Shikshya Pratisthan,29.0,Pharmacy,,
"Dhaulagiri  Polytechnic Institute, Balewa",12.0,Agriculture (Animal Science) (Semester),40.0,11.0
"Dhaulagiri  Polytechnic Institute, Balewa",6.0,Agriculture (Plant Science)(Semester),40.0,11.0
"Dhawalagiri Technical School, Lete",21.0,Hotel Management,40.0,26.0
"Dhawalagiri Technical School, Lete",5.0,Hotel Management (Special),,
"Fewacity Institute of Medical Science, Pokhara",40.0,Nursing,40.0,40.0
"Fishtail Nursing Campus, Pokhara",40.0,Nursing,40.0,40.0
"Gandaki Polytechnic Institute, Pokhara",,Automobile Engineering,48.0,18.0
"Gandaki Polytechnic Institute, Pokhara",18.0,Civil Engineering,48.0,27.0
"Gandaki Polytechnic Institute, Pokhara",40.0,General Medicine,,
"Gandaki Polytechnic Institute, Pokhara",40.0,Pharmacy,40.0,40.0
"Gandaki Technical Institute, Pokhara",40.0,General Medicine,40.0,40.0
"Gandaki Technical Institute, Pokhara",30.0,Medical Laboratory Technology,30.0,30.0
"Gandaki Technical Institute, Pokhara",37.0,Pharmacy,,
"Gandaki Technical Training Center, Damauli",37.0,General Medicine,40.0,40.0
"Gorkha Polytechnic Institute, Palungtar",6.0,Civil Engineering,48.0,11.0
"Gorkha Polytechnic Institute, Palungtar",15.0,Civil Engineering (Special),,
"Gorkha Polytechnic Institute, Palungtar",,Civil Engineering (Specialized in Hydropower),48.0,1.0
"Gorkha Polytechnic Institute, Palungtar",,Civil Engineering (Specialized in Hydropower)(Special),40.0,30.0
"Gorkha Polytechnic Institute, Palungtar",,Electrical Engineering,48.0,3.0
"Gorkha Polytechnic Institute, Palungtar",1.0,Geomatics Engineering,48.0,15.0
Gorkha Science and Technical Education Sahkari Limited,9.0,Medical Laboratory Technology,30.0,12.0
Gorkha Technical Training Center,35.0,General Medicine,40.0,27.0
"Hupsekot Technical School, Jhyalbas",17.0,Agriculture (Animal Science) (Semester),40.0,36.0
"Hupsekot Technical School, Jhyalbas",10.0,Agriculture (Plant Science)(Semester),40.0,32.0
"Janaganpati Secondary School, Myagde",15.0,Agriculture (Animal Science) (Semester),40.0,6.0
"Janata Secondary School, Magarkot",26.0,Civil Engineering,48.0,25.0
"Kaligandaki Polytechnic Institute, Puttar",38.0,Pharmacy,,
"Kaligandaki Polytechnic Institute, Puttar",33.0,Pharmacy (Special),,
"Kaligandaki Technical School, Kawasoti",18.0,Diagnostic Radiography,,
"Kaligandaki Technical School, Kawasoti",40.0,General Medicine,40.0,34.0
"Kaligandaki Technical School, Kawasoti",29.0,Medical Laboratory Technology,30.0,13.0
"Kalika Medical and Technical Institute, Gaindakot",27.0,Diagnostic Radiography,30.0,30.0
"Kalika Medical and Technical Institute, Gaindakot",40.0,General Medicine,40.0,40.0
"Kalika Medical and Technical Institute, Gaindakot",30.0,Medical Laboratory Technology,30.0,30.0
"Kalika Medical and Technical Institute, Gaindakot",40.0,Nursing,40.0,40.0
"Kalika Medical and Technical Institute, Gaindakot",37.0,Pharmacy,,
"Kalika Medical and Technical Institute, Gaindakot",40.0,Physiotherapy,40.0,39.0
"Kantipur Institute of Health Science, Pokhara",40.0,Dental Science(Dental Hygiene),,
"Kantipur Institute of Health Science, Pokhara",17.0,Diagnostic Radiography,30.0,11.0
"Kantipur Institute of Health Science, Pokhara",30.0,Medical Laboratory Technology,30.0,30.0
"Kantipur Institute of Health Science, Pokhara",40.0,Pharmacy,40.0,40.0
"Kisan Polytechnic Institute, Chapakot 10",11.0,Agriculture (Animal Science) (Semester),40.0,25.0
"Kisan Polytechnic Institute, Chapakot 10",,Agriculture (Plant Science)(Semester),40.0,8.0
"Kisan Polytechnic Institute, Chapakot 10",14.0,Civil Engineering,48.0,31.0
"Kisan Polytechnic Institute, Chapakot 10",16.0,Information Technology,48.0,20.0
Kisani Secondary School,17.0,Agriculture (Animal Science) (Semester),40.0,32.0
Kisani Secondary School,19.0,Agriculture (Plant Science)(Semester),40.0,0.0
"Madhyanepal Polytechnic School, Sotipasal",24.0,Civil Engineering,48.0,24.0
"Mahendra Darshan Secondary School, Tindobato",,Civil Engineering,48.0,10.0
"Namuna Technical Education Foundation, Bhachchek",,Agriculture (Plant Science)(Semester),40.0,6.0
"Nirmal Secondary School, Bhadgaun",,Civil Engineering,48.0,7.0
Pabitra Secondary School,,Civil Engineering,48.0,13.0
"Paschimanchal Prabidhik Shikshalay, Shuklagandaki",33.0,General Medicine,40.0,9.0
"Paschimanchal Prabidhik Shikshalay, Shuklagandaki",13.0,Medical Laboratory Technology,30.0,4.0
"Pioneers Higher Education, Waling",32.0,General Medicine,,
"Pokhara Engineering College, Pokhara",15.0,Civil Engineering,48.0,16.0
"Pokhara Engineering College, Pokhara",7.0,Computer Engineering,48.0,9.0
"Pokhara Technical School, Phulbari",,Automobile Engineering,48.0,26.0
"Pokhara Technical School, Phulbari",40.0,Hotel Management,40.0,39.0
"Pokhara Technical Training and Research Center, Pokhara",40.0,General Medicine,,
"Pokhara Technical Training and Research Center, Pokhara",30.0,Medical Laboratory Technology,30.0,9.0
"Poorneshwar Secondary School, Kushma-10",,Civil Engineering,48.0,3.0
"Rainas Polytechnic Institute, Rainas",7.0,Agriculture (Plant Science)(Semester),40.0,23.0
"Rainas Polytechnic Institute, Rainas",14.0,Agriculture (Plant Science)(Special Semester),,
"Ranabir Janahit Secondary School, Waling",,Electrical Engineering,48.0,9.0
"Regional College of Health Science and Technology, Pokhara",30.0,Diagnostic Radiography,30.0,30.0
"Regional College of Health Science and Technology, Pokhara",30.0,Medical Laboratory Technology,30.0,30.0
"Regional College of Health Science and Technology, Pokhara",30.0,Pharmacy,,
"Saraswati Secondary School, Borlang",,Civil Engineering,48.0,4.0
"Shahid Smriti Community Secondary School, Kawasoti",,Agriculture (Plant Science)(Semester),40.0,14.0
"Siddhartha Secondary School, Phedikhola",9.0,Computer Engineering,48.0,10.0
"Tanahun Technical School, Bhimad",,Agriculture (Plant Science)(Semester),40.0,6.0
"Tribhuwan Aadarsha Secondary School, Putalibazar",,Civil Engineering,48.0,16.0
"Tribhuwan Secondary School, Manechauka",,Agriculture (Animal Science) (Semester),40.0,14.0
Waling Scholars' Foundation,40.0,Pharmacy,40.0,40.0
